CCAnr_glucose glueSplit_clasp Lingeling Lingeling_druplig Tuned_headstart Tuned_beststart
1.01 0.91 0.97 0.90 0.95 0.87
1.01 0.85 0.90 0.79 0.95 0.80
0.93 0.94 0.96 0.92 0.95 0.78
1.01 0.94 0.96 0.87 0.94 0.76
1.02 0.91 0.86 0.87 0.94 0.75
0.96 0.88 0.93 0.88 0.95 0.79
0.97 0.86 0.90 0.87 0.97 0.86
0.98 0.85 0.99 0.83 0.90 0.81
0.92 0.93 0.91 0.93 0.87 0.78
1.00 0.91 0.94 0.80 0.87 0.75
0.96 0.90 0.94 0.83 0.83 0.81
1.00 0.86 0.92 0.82 0.94 0.85
0.97 0.89 0.96 0.79 0.88 0.91
0.95 0.89 0.93 0.89 0.86 0.86
0.98 0.95 0.99 0.86 0.93 0.89
0.99 0.91 0.97 0.86 0.89 0.77
0.99 0.95 1.01 0.90 0.86 0.74
0.96 0.89 0.95 0.83 0.94 0.88
1.05 0.95 0.94 0.86 0.87 0.82
0.95 0.86 0.96 0.82 0.88 0.93
0.98 0.92 0.95 0.82 0.94 0.87
0.99 0.94 0.92 0.74 0.87 0.83
0.94 0.87 0.95 0.89 0.80 0.87
0.94 0.91 0.96 0.83 0.93 0.81
1.01 0.93 0.88 0.88 0.90 0.91
0.94 0.90 0.98 0.91 0.94 0.84
0.99 0.90 0.95 0.87 0.86 0.91
0.92 0.86 0.97 0.90 0.94 0.80
0.97 0.93 0.89 0.85 0.93 0.91
0.95 0.97 0.94 0.86 0.92 0.90
0.99 0.95 0.84 0.87 0.96 0.93
0.99 0.89 0.96 0.91 0.93 0.93
0.95 0.93 0.95 0.89 0.93 0.87
0.97 0.90 0.99 0.89 0.93 0.92
0.89 0.89 0.90 0.77 0.93 0.88
0.97 0.89 0.97 0.88 0.94 0.91
0.95 0.84 0.94 0.86 0.90 0.83
0.94 0.91 0.92 0.84 0.92 0.79
0.98 0.91 0.97 0.87 0.93 0.81
1.01 0.90 0.96 0.87 0.95 0.87
0.94 0.89 0.95 0.86 0.93 0.82
0.98 0.92 0.94 0.83 0.88 0.85
0.99 0.88 0.92 0.87 0.94 0.83
0.97 0.95 0.92 0.89 0.92 0.92
0.98 0.92 0.97 0.83 0.91 0.90
0.95 0.92 0.97 0.85 0.92 0.90
0.79 0.78 0.88 0.80 0.88 0.75
0.95 0.93 0.97 0.88 0.89 0.74
1.02 0.85 0.99 0.87 0.97 0.89
0.98 0.93 0.94 0.94 0.94 0.83
0.97 0.96 0.92 0.81 0.96 0.89
0.99 0.97 0.95 0.91 0.97 0.87
0.99 0.93 0.89 0.86 0.95 0.81
0.95 0.90 0.89 0.77 0.92 0.90
0.97 0.95 1.02 0.90 0.91 0.77
0.93 0.89 0.96 0.86 0.97 0.76
0.97 0.90 0.96 0.85 0.96 0.83
0.83 0.86 0.94 0.92 0.86 0.81
1.00 0.93 0.96 0.91 0.96 0.79
0.99 0.96 0.96 0.88 0.88 0.76
0.95 0.95 0.97 0.86 0.90 0.75
0.98 0.89 0.93 0.87 0.94 0.88
0.93 0.91 0.92 0.95 0.92 0.85
0.95 0.93 0.94 0.90 0.91 0.84
0.96 0.89 0.88 0.86 0.86 0.93
0.96 0.94 0.91 0.88 0.92 0.83
0.97 0.89 0.95 0.85 0.86 0.77
0.95 0.90 0.89 0.89 0.95 0.87
0.93 0.91 0.87 0.71 0.92 0.82
0.90 0.91 0.95 0.84 0.92 0.80
0.98 0.95 0.97 0.88 0.90 0.88
0.88 0.89 0.96 0.87 0.92 0.83
0.98 0.95 0.99 0.90 0.91 0.82
0.92 0.92 0.93 0.90 0.96 0.92
0.97 0.79 0.93 0.83 0.95 0.89
0.96 0.92 0.95 0.85 0.98 0.81
0.92 0.83 0.91 0.90 0.95 0.84
0.97 0.94 0.94 0.84 0.95 0.85
0.93 0.91 0.92 0.88 0.92 0.90
0.97 0.94 0.96 0.83 0.84 0.87
